id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
27,1441.736472,1462.219953,1499.936265,1545.124002,1590.796648,1613.079734,1635.466348,1660.450302,1691.119273,1710.105757,1737.47881,1767.781398,1796.767347,1813.356564,1828.882966,1850.268265,1871.730252,1887.972439,1894.71535,1928.94135
28,1737.821681,1758.882882,1789.636981,1836.163517,1897.261668,1919.469046,1924.784905,1928.072891,1943.883579,1957.997783,1980.738896,2014.367652,2050.890376,2083.559083,2124.928035,2159.146152,2193.594263,2230.469172,2256.91443,2287.09072
29,1979.53001,1985.531138,2006.390816,2038.466606,2075.115823,2068.43582,2062.294553,2022.573151,1993.664944,1981.328938,1991.346773,2005.668237,2013.467757,2017.053091,2041.807575,2061.740954,2090.397938,2109.619509,2128.595005,2174.493615
30,2284.866271,2310.770687,2331.102076,2352.26645,2373.617466,2366.526011,2347.518873,2327.24279,2325.894051,2327.007787,2324.082805,2325.620115,2329.005132,2327.970309,2341.073053,2346.418046,2356.188858,2376.052707,2396.476467,2426.870948
31,2096.986727,2117.365285,2144.062067,2178.379058,2208.723831,2213.988679,2205.847988,2208.506498,2217.089357,2196.047709,2200.445923,2210.320469,2213.207702,2211.144957,2230.820834,2253.050961,2266.845098,2265.342632,2268.209765,2291.742899
32,2029.473158,2044.567104,2071.770296,2092.254419,2113.367993,2120.114686,2115.320308,2113.630541,2119.011452,2109.060599,2116.934747,2137.618729,2153.724462,2166.512012,2185.822157,2200.879451,2204.487443,2222.40071,2234.340629,2261.031076
33,1746.282135,1767.025864,1797.15803,1826.583489,1854.910648,1875.335591,1881.006795,1891.021316,1898.702182,1905.361621,1925.051602,1942.659308,1953.354195,1917.520796,1937.064952,1958.435474,1973.297692,1984.119792,1994.259542,2012.593886
34,2786.630821,2813.334687,2831.37692,2832.767974,2825.23711,2814.195895,2767.261645,2745.269732,2737.288613,2719.656823,2713.752713,2694.497172,2683.49674,2608.964477,2614.334186,2628.667345,2609.589342,2617.133026,2622.241207,2651.839274
35,2571.032862,2537.699257,2559.312158,2589.351913,2605.922884,2602.160981,2570.4081,2536.992082,2530.567454,2514.292405,2483.695716,2473.337963,2452.950289,2430.784602,2411.225755,2410.846208,2424.045754,2447.350358,2475.308047,2514.665518
36,2307.447115,2330.333056,2391.846965,2432.522893,2457.257804,2444.474518,2385.724868,2353.610352,2349.109476,2359.170185,2370.084775,2363.667171,2338.819282,2316.112043,2299.26645,2325.54961,2333.695095,2350.099426,2366.970346,2384.032767
37,2146.418925,2164.880974,2182.411336,2207.556715,2232.759646,2242.933823,2233.988659,2232.272716,2228.747031,2233.444893,2235.270032,2238.851836,2235.802488,2232.972415,2218.207118,2243.26514,2260.119025,2255.957376,2255.421203,2253.532902
38,2283.619863,2292.646276,2317.554393,2374.415404,2443.990475,2480.374947,2496.818009,2496.818555,2486.080029,2465.265724,2469.396838,2449.574273,2459.615854,2372.758407,2331.541163,2302.808053,2320.036971,2295.759917,2315.779322,2335.897941
39,2324.597561,2326.353659,2371.121951,2397.585366,2434.926829,2408.060976,2443.719512,2418.695122,2385.878049,2301.743902,2309.54878,2192.926829,2203.780488,2193.756098,2198.597561,2221.04878,2224.719512,2221.231707,2292.463415,2339.207317
40,3616.506598,3631.061314,3641.386871,3651.218554,3656.863752,3665.714246,3658.663183,3674.890984,3678.755255,3701.152496,3731.506524,3761.416461,3787.48857,3793.007091,3807.062925,3815.848999,3834.729001,3853.695151,3864.80562,3870.542127
41,2480.466241,2488.683839,2496.474804,2500.228594,2481.203072,2415.867208,2402.333998,2415.076613,2428.726078,2445.123089,2467.569744,2500.05046,2537.038461,2564.187352,2598.140481,2630.831002,2667.478441,2702.207903,2735.556203,2766.034257
42,1201.426806,1211.39165,1219.927188,1226.358187,1245.475909,1260.818089,1272.988778,1293.68986,1307.395795,1318.627979,1335.377865,1351.243557,1365.104154,1368.655658,1381.6505,1398.401945,1410.02076,1425.645502,1441.777262,1460.249455
43,2457.181538,2469.807079,2484.228575,2499.378685,2516.957945,2512.803157,2492.471591,2490.890324,2493.600883,2482.326035,2486.474274,2498.055808,2512.4781,2514.598526,2529.879343,2538.349516,2554.974206,2584.5108,2611.300133,2649.445761
44,1618.500882,1626.908798,1637.66421,1650.041332,1665.200937,1666.339702,1657.305199,1657.338714,1666.152672,1669.86063,1676.765829,1684.905727,1696.354536,1703.17075,1715.465428,1723.368678,1738.554383,1758.340313,1777.293952,1809.156591
45,1207.529543,1213.89088,1221.574291,1230.575335,1240.78333,1243.235008,1243.184765,1247.055728,1255.352202,1256.554796,1263.770429,1271.612539,1281.717109,1289.763946,1300.076296,1311.758094,1323.982954,1339.684079,1354.7509,1378.847894
46,1066.616464,1071.967189,1078.733766,1086.123538,1093.749363,1098.621867,1101.568311,1105.99154,1112.597183,1113.655942,1117.44356,1123.597786,1131.168978,1138.397396,1146.134157,1154.960891,1162.219223,1171.259907,1179.763311,1191.610826
47,1238.357158,1244.670163,1251.769272,1259.836327,1269.5743,1277.045734,1280.767386,1286.468215,1294.46092,1291.563885,1294.034004,1299.972965,1308.532939,1312.966968,1323.567328,1331.231514,1339.400506,1349.201626,1359.045652,1373.223577
48,1350.772719,1357.30003,1366.736431,1375.39651,1385.888431,1395.733614,1399.738633,1403.698332,1412.56343,1415.786458,1420.284487,1427.015945,1435.433338,1441.456681,1450.169317,1459.567892,1465.669101,1468.167119,1470.171042,1482.816907
49,1638.279795,1651.747902,1668.150072,1680.852775,1694.068902,1693.91992,1694.416408,1695.110634,1701.111466,1704.648393,1711.466713,1722.336304,1734.465866,1741.082549,1749.250473,1758.04574,1768.08502,1780.089898,1788.205213,1805.107006
50,1223.147971,1234.466689,1248.764019,1262.963912,1277.450943,1283.660174,1286.408206,1291.150804,1299.652977,1303.857615,1310.31575,1320.099373,1329.060491,1334.717212,1346.152248,1356.523426,1368.122296,1381.179309,1391.052112,1409.73421
51,1391.027668,1402.466554,1418.324315,1436.053737,1453.319333,1459.72009,1459.476374,1461.103063,1464.493688,1474.827956,1479.787889,1488.803484,1496.110051,1500.186862,1506.695232,1512.462561,1523.491577,1537.416975,1551.644677,1567.302724
52,1642.822532,1654.612931,1678.372258,1701.866367,1720.901067,1733.47788,1731.802827,1733.886357,1736.48364,1747.268937,1760.001391,1770.496417,1780.768867,1787.047412,1798.512817,1810.35444,1821.023647,1820.319178,1818.864504,1835.415908
53,1433.98197,1447.759847,1466.891268,1490.1906,1511.721605,1527.15268,1531.503429,1538.651034,1545.494718,1558.595137,1572.761604,1587.162211,1600.05339,1610.984936,1625.89273,1642.460645,1653.012808,1664.542268,1667.215443,1686.549116
54,1738.513446,1754.62376,1781.377036,1811.951693,1835.594423,1852.883918,1850.031977,1849.093852,1843.227026,1853.188324,1873.330259,1895.922264,1910.576972,1915.424922,1930.132084,1936.525137,1957.704124,1971.187385,1984.074234,2009.29415
55,1788.696623,1811.559928,1839.820657,1875.446789,1905.87176,1915.655999,1909.193782,1909.991014,1914.372691,1921.917807,1932.72072,1944.22419,1956.183745,1954.607254,1966.004843,1980.146572,2001.180457,2016.199734,2026.899294,2052.654431
56,1962.891385,1981.113222,2012.600423,2049.487372,2078.671636,2100.25873,2101.164405,2104.03284,2109.613153,2121.026985,2136.020491,2150.532416,2166.701795,2174.445664,2174.82088,2191.482836,2208.024815,2221.451328,2224.763907,2235.515055
57,1999.939082,2017.900234,2079.851871,2108.786735,2126.263848,2133.402243,2106.46801,2080.212529,2065.991393,2055.356413,2051.672473,2067.341984,2075.881758,2074.960512,2076.472481,2093.469981,2110.687569,2130.464137,2137.450073,2166.83039
58,2491.543167,2526.571355,2596.785979,2650.347645,2683.441547,2689.512082,2664.900294,2627.146274,2576.45787,2541.245912,2517.985098,2488.019483,2457.052581,2406.162821,2381.880087,2340.143402,2316.323541,2283.483144,2283.599481,2286.336865
59,3377.948968,3406.005069,3463.957207,3512.022153,3538.826156,3551.117809,3542.905749,3528.204433,3519.16922,3500.515109,3482.269764,3450.869572,3445.354003,3426.215664,3412.533019,3372.027608,3355.481154,3325.206013,3310.842102,3284.845552
60,6014.789487,6045.337554,6088.288449,6121.971045,6146.401058,6166.884123,6143.186912,6125.754209,6108.299259,6110.247201,6123.187926,6144.716831,6162.05022,6176.753532,6195.694697,6200.495744,6204.664569,6213.078702,6202.630315,6189.115944
61,3926.211933,3989.70554,4032.994963,4083.871755,4099.159241,4088.103448,4061.908563,4084.660209,4098.114297,4140.28981,4150.188299,4161.986439,4166.695467,4151.758621,4166.080589,4174.185974,4176.095699,4182.270825,4200.632313,4223.860132
62,2596.684619,2675.110975,2758.399021,2821.532436,2859.090575,2888.984904,2829.231523,2826.619339,2845.148511,2882.567523,2914.255814,2936.640147,2960.956344,2985.402285,2984.476948,2992.129493,2971.837893,2960.085749,2946.034272,2920.453878
63,2544.181041,2636.037063,2712.426942,2787.161796,2909.212963,2972.110399,2999.102637,3019.461867,3059.918803,3080.842593,3137.037011,3211.977224,3261.214947,3286.060541,3353.395299,3378.47792,3398.444444,3402.527402,3422.572242,3441.928826
64,991.6899863,1003.174451,1019.74553,1029.92022,1035.667125,1027.447043,1017.861264,1015.823045,1024.539095,1014.687243,1010.150685,999.560274,1003.449931,1003.396433,1000.681756,1007.289041,1018.857534,1022.208505,1024.754795,1021.285714
65,1463.160909,1499.065229,1520.59744,1421.756927,1427.90864,1438.390235,1435.577421,1459.464602,1486.057878,1496.89432,1515.821375,1531.594209,1545.396135,1572.487527,1591.356203,1611.063555,1625.185334,1634.457014,1640.351955,1637.37576
66,417.6928105,432.1960784,441.7189542,439.7973856,448.1948052,453.3856209,452.1699346,438.4771242,448.4117647,450.5294118,479.6470588,480.1830065,495.7712418,446.9605263,436.1381579,444.5324675,444.4387097,442.5974026,339.1372549,339.5816993
67,1162.670055,1167.711146,1168.026625,1163.960094,1173.221961,1175.621176,1175.015637,1189.499221,1194.368175,1195.098207,1204.344988,1186.892857,1187.277864,1182.53096,1185.556757,1190.44556,1196.984556,1197.970679,1201.443243,1214.037838
68,2281.788679,2323.315789,2309.740741,2287.079422,2308.823105,2289.234875,2278.687719,2272.020979,2260.643836,2302.573883,2285.272109,2311.371622,2299.603333,2308.413333,2323.802013,2328.854305,2334.966997,2332.624183,2316.62623,2308.287582
